ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Gender,Married,Dependents,Education,Self_Employed,Property_Area,Loan_Status
5849,0.0,128.0,360.0,1.0,Male,No,0,Graduate,No,Urban,Y
4583,1508.0,128.0,360.0,1.0,Male,Yes,1,Graduate,No,Rural,N
3000,0.0,66.0,360.0,1.0,Male,Yes,0,Graduate,Yes,Urban,Y
2583,2358.0,120.0,360.0,1.0,Male,Yes,0,Not Graduate,No,Urban,Y
6000,0.0,141.0,360.0,1.0,Male,No,0,Graduate,No,Urban,Y
5417,4196.0,267.0,360.0,1.0,Male,Yes,2,Graduate,Yes,Urban,Y
2333,1516.0,95.0,360.0,1.0,Male,Yes,0,Not Graduate,No,Urban,Y
3036,2504.0,158.0,360.0,0.0,Male,Yes,3+,Graduate,No,Semiurban,N
4006,1526.0,168.0,360.0,1.0,Male,Yes,2,Graduate,No,Urban,Y
12841,10968.0,349.0,360.0,1.0,Male,Yes,1,Graduate,No,Semiurban,N
3200,700.0,70.0,360.0,1.0,Male,Yes,2,Graduate,No,Urban,Y
2500,1840.0,109.0,360.0,1.0,Male,Yes,2,Graduate,No,Urban,Y
3073,8106.0,200.0,360.0,1.0,Male,Yes,2,Graduate,No,Urban,Y
1853,2840.0,114.0,360.0,1.0,Male,No,0,Graduate,No,Rural,N
1299,1086.0,17.0,120.0,1.0,Male,Yes,2,Graduate,No,Urban,Y
4950,0.0,125.0,360.0,1.0,Male,No,0,Graduate,No,Urban,Y
3596,0.0,100.0,240.0,0.0,Male,No,1,Not Graduate,No,Urban,Y
3510,0.0,76.0,360.0,0.0,Female,No,0,Graduate,No,Urban,N
4887,0.0,133.0,360.0,1.0,Male,Yes,0,Not Graduate,No,Rural,N
2600,3500.0,115.0,360.0,1.0,Male,Yes,0,Graduate,No,Urban,Y
7660,0.0,104.0,360.0,0.0,Male,Yes,0,Not Graduate,No,Urban,N
5955,5625.0,315.0,360.0,1.0,Male,Yes,1,Graduate,No,Urban,Y
2600,1911.0,116.0,360.0,0.0,Male,Yes,0,Not Graduate,No,Semiurban,N
